id;Tbf;Taf;raw.decrease;norm.decrease;normEBS.decrease;het.decrease;plateau_slope;maxfluo;well_pcr;sample;calib;pop;generation;ratio;plate_qpcr_id;competition;experiment_batch;setup;predicted_freq
plate2#C11;76.98;83.95;1;1;1;0;0;5.75682767350249;C11;8-100%;calib;8-100%;NA;100%;plate2;V8;NA;NA;0.995889640434966
plate2#C14;78.03;85;0.24867050307967;0.121973155064315;0.183256589951856;0;0;4.68624224389473;C14;G6-N20;NA;N20;6;NA;plate2;V8;DW;20;0.255687560846857
plate2#C17;77.44;85.04;0.29132958515427;0.15542679683926;0.227229269471946;0;0;5.49090820086914;C17;G3-N19;NA;N19;3;NA;plate2;V8;DW;19;0.308316039240994
plate2#C20;78.21;85.36;0.222753669428539;0.103992477853169;0.165217923694532;0;0;6.06837480454998;C20;G6-N21;NA;N21;6;NA;plate2;V8;VFP;21;0.232817399150021
plate2#C22;77.47;85.44;0.24881711576236;0.118205767977724;0.181127389330788;0;0;5.90172812264303;C22;G3-Z21;NA;Z21;3;NA;plate2;V8;VFP;21;0.25303590141105
plate2#C23;78.03;85.47;0.223483281071502;0.0942825662234009;0.159621882169141;0;0;6.21052183258038;C23;G6-Z19;NA;Z19;6;NA;plate2;V8;DW;19;0.225511248543855
plate2#C3;77.77;85.38;0.228247520943876;0.0989150189755625;0.163866605951511;0;0;6.83048965168228;C3;G3-Z22;NA;Z22;3;NA;plate2;V8;VFP;22;0.231063119137583
plate2#C5;77.88;85.36;0.221462872161294;0.103649444362309;0.161460858982326;0;0;7.1477148772048;C5;G3-N23;NA;N23;3;NA;plate2;V8;RA;23&24;0.227924335507094
plate2#C9;78.15;85;0.259990076836417;0.141854407870146;0.200172293444028;0;0;5.47335619312982;C9;G6-N19;NA;N19;6;NA;plate2;V8;DW;19;0.276392921732279
plate2#D12;77.77;85;0.235362677591998;0.128505345905212;0.181510361357649;0;0;4.88501287105862;D12;G6-N24;NA;N24;6;NA;plate2;V8;RA;23&24;0.253513686851983
plate2#D19;77.77;85;0.260822272308327;0.128022656636182;0.20773694210767;0;0.0099951248375003;6.54496772886892;D19;G6-Z21;NA;Z21;6;NA;plate2;V8;VFP;21;0.285465528018812
plate2#D4;77.88;85.33;0.226765882638103;0.11414791496695;0.170291003935;0;0.0061595882908514;7.0153855493692;D4;G3-Z23;NA;Z23;3;NA;plate2;V8;RA;23&24;0.239348797388983
plate2#D6;77.57;85;0.47843577923518;0.365416172085193;0.439735171539923;0;0.00507331750201651;6.86167486207272;D6;8-50%;calib;8-50%;NA;50%;plate2;V8;NA;NA;0.499547052280354
plate2#E12;77.74;85;0.204118434425215;0.0785848730200602;0.14514242303944;0;0;5.26527787181731;E12;G6-N22;NA;N22;6;NA;plate2;V8;VFP;22;0.206092660981932
plate2#E14;77.32;85;0.250900005081431;0.117021581518345;0.197310216090081;0;0;5.18259201210512;E14;G3-Z24;NA;Z24;3;NA;plate2;V8;RA;23&24;0.27293111534994
plate2#E19;78.66;85.53;0;0;0;0;0.00530281668245369;7.115670652025;E19;8-0%;calib;8-0%;NA;0%;plate2;V8;NA;NA;-0.00550094891728664
plate2#E20;78;85.04;0.475815737349499;0.357632276076212;0.428731946811815;0;0;6.69368787103397;E20;8-50%;calib;8-50%;NA;50%;plate2;V8;NA;NA;0.492576882384759
